artists,frequency,rank_sum,ranking_score,rank,rank_sum_normalized,frequency_normalized
The Living Tombstone,1,0.023255813953488372,0.5348837209302325,364.0,1.8581187642145112e-05,0.0
Rihanna,1,0.022727272727272728,0.5340909090909091,365.0,1.5564761076861827e-05,0.0
Perry Como,1,0.022222222222222223,0.5333333333333333,366.0,1.268239791448001e-05,0.0
"Pharrell Williams, Miley Cyrus",1,0.022222222222222223,0.5333333333333333,366.0,1.268239791448001e-05,0.0
Ivan Cornejo,1,0.021739130434782608,0.532608695652174,368.0,9.925354889593038e-06,0.0
Talking Heads,1,0.021739130434782608,0.532608695652174,368.0,9.925354889593038e-06,0.0
"Peso Pluma, Ivan Cornejo",1,0.02127659574468085,0.5319148936170213,370.0,7.285632844488505e-06,0.0
"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",1,0.02127659574468085,0.5319148936170213,370.0,7.285632844488505e-06,0.0
"Charli xcx, The 1975, Jon Hopkins",1,0.02127659574468085,0.5319148936170213,370.0,7.285632844488505e-06,0.0
Twenty One Pilots,1,0.020833333333333332,0.53125,373.0,4.7558992179299936e-06,0.0
"Kendrick Lamar, Jay Rock",1,0.020833333333333332,0.53125,373.0,4.7558992179299936e-06,0.0
Dropkick Murphys,1,0.020833333333333332,0.53125,373.0,4.7558992179299936e-06,0.0
"Post Malone, Billy Strings",1,0.02040816326530612,0.5306122448979592,376.0,2.3294200251085636e-06,0.0
Bill Withers,1,0.02040816326530612,0.5306122448979592,376.0,2.3294200251085636e-06,0.0
"mgk, Jelly Roll",1,0.02040816326530612,0.5306122448979592,376.0,2.3294200251085636e-06,0.0
"Marvin Gaye, Tammi Terrell",1,0.02,0.53,379.0,0.0,0.0
"Luis R Conriquez, Neton Vega",1,0.02,0.53,379.0,0.0,0.0
Blue Öyster Cult,1,0.02,0.53,379.0,0.0,0.0
